"學年度","設立別","學程別","群科別","畢業生人數","農_林_漁_牧業人數","礦業及土石採取業人數","製造業人數","電力及燃氣供應業人數","用水供應及污染整治業人數","營建工程業人數","批發及零售業人數","運輸及倉儲業人數","住宿及餐飲業人數","出版影音及資通訊業人數","金融及保險業人數","不動產業人數","專業_科學及技術服務業人數","支援服務業人數","公共行政及國防_強制性社會安全人數","教育業人數","醫療保健及社會工作服務業人數","藝術_娛樂及休閒服務業人數","其他服務業人數","就業率","農_林_漁_牧業比率","礦業及土石採取業比率","製造業比率","電力及燃氣供應業比率","用水供應及污染整治業比率","營建工程業比率","批發及零售業比率","運輸及倉儲業比率","住宿及餐飲業比率","出版影音及資通訊業比率","金融及保險業比率","不動產業比率","專業_科學及技術服務業比率","支援服務業比率","公共行政及國防_強制性社會安全比率","教育業比率","醫療保健及社會工作服務業比率","藝術_娛樂及休閒服務業比率","其他服務業比率"
109,國立,綜合高中,水產群,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,11.1111111111111,0,0,0,0,0,7.40740740740741,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,0
109,國立,綜合高中,綜合,91,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,0,1,10.989010989011,0,0,0,0,0,0,1.0989010989011,0,3.2967032967033,0,0,0,0,0,5.49450549450549,0,0,0,1.0989010989011
109,國立,實用技能學程,機械群,273,8,0,14,1,0,2,12,1,5,0,0,0,2,0,8,0,0,3,5,22.3443223443223,2.93040293040293,0,5.12820512820513,0.366300366300366,0,0.732600732600733,4.3956043956044,0.366300366300366,1.83150183150183,0,0,0,0.732600732600733,0,2.93040293040293,0,0,1.0989010989011,1.83150183150183
109,國立,實用技能學程,動力機械群,50,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,3,18,0,0,4,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,6
109,國立,實用技能學程,電機與電子群,287,14,0,11,18,0,10,1,2,7,0,0,0,10,0,21,0,1,0,2,33.7979094076655,4.8780487804878,0,3.83275261324042,6.27177700348432,0,3.48432055749129,0.348432055749129,0.696864111498258,2.4390243902439,0,0,0,3.48432055749129,0,7.31707317073171,0,0.348432055749129,0,0.696864111498258
109,國立,實用技能學程,土木與建築群,109,0,0,5,1,0,10,2,0,2,0,0,0,0,0,0,0,0,0,2,20.1834862385321,0,0,4.58715596330275,0.917431192660551,0,9.1743119266055,1.8348623853211,0,1.8348623853211,0,0,0,0,0,0,0,0,0,1.8348623853211
109,國立,實用技能學程,商業與管理群,262,4,5,3,4,1,1,14,3,12,1,0,1,0,2,4,0,0,2,1,22.1374045801527,1.52671755725191,1.90839694656489,1.14503816793893,1.52671755725191,0.381679389312977,0.381679389312977,5.34351145038168,1.14503816793893,4.58015267175572,0.381679389312977,0,0.381679389312977,0,0.763358778625954,1.52671755725191,0,0,0.763358778625954,0.381679389312977
109,國立,實用技能學程,設計群,119,0,0,1,0,0,6,0,0,4,0,0,0,0,2,2,0,0,3,0,15.1260504201681,0,0,0.840336134453782,0,0,5.04201680672269,0,0,3.36134453781513,0,0,0,0,1.68067226890756,1.68067226890756,0,0,2.52100840336134,0
109,國立,實用技能學程,農業群,115,8,0,1,1,0,2,1,1,3,0,0,0,1,1,2,0,0,1,1,20,6.95652173913043,0,0.869565217391304,0.869565217391304,0,1.73913043478261,0.869565217391304,0.869565217391304,2.60869565217391,0,0,0,0.869565217391304,0.869565217391304,1.73913043478261,0,0,0.869565217391304,0.869565217391304
109,國立,實用技能學程,食品群,191,5,0,14,0,0,3,5,0,18,0,0,0,1,2,13,0,0,0,0,31.9371727748691,2.61780104712042,0,7.32984293193717,0,0,1.57068062827225,2.61780104712042,0,9.42408376963351,0,0,0,0.523560209424084,1.04712041884817,6.80628272251309,0,0,0,0
109,國立,實用技能學程,餐旅群,333,4,0,9,0,0,1,7,0,34,0,0,0,1,6,10,0,0,4,16,27.6276276276276,1.2012012012012,0,2.7027027027027,0,0,0.3003003003003,2.1021021021021,0,10.2102102102102,0,0,0,0.3003003003003,1.8018018018018,3.003003003003,0,0,1.2012012012012,4.8048048048048
109,國立,實用技能學程,水產群,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,0,0,0,0,0,0
109,國立,實用技能學程,海事群,12,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,50,8.33333333333333,0,8.33333333333333,0,0,0,8.33333333333333,0,8.33333333333333,0,0,0,0,0,8.33333333333333,0,0,0,8.33333333333333
109,國立,實用技能學程,美容造型群,133,0,0,1,0,0,0,1,0,5,0,0,0,0,2,1,0,1,17,1,21.8045112781955,0,0,0.75187969924812,0,0,0,0.75187969924812,0,3.7593984962406,0,0,0,0,1.50375939849624,0.75187969924812,0,0.75187969924812,12.781954887218,0.75187969924812
109,國立,進修部,學術群,87,1,0,1,0,0,3,3,0,7,0,0,0,0,0,9,0,3,0,3,34.4827586206897,1.14942528735632,0,1.14942528735632,0,0,3.44827586206897,3.44827586206897,0,8.04597701149425,0,0,0,0,0,10.3448275862069,0,3.44827586206897,0,3.44827586206897
109,國立,進修部,機械群,218,2,0,56,0,1,5,3,1,20,0,0,0,6,7,4,1,0,1,7,52.2935779816514,0.917431192660551,0,25.6880733944954,0,0.458715596330275,2.29357798165138,1.37614678899083,0.458715596330275,9.1743119266055,0,0,0,2.75229357798165,3.21100917431193,1.8348623853211,0.458715596330275,0,0.458715596330275,3.21100917431193
109,國立,進修部,動力機械群,73,5,0,8,1,1,5,1,0,5,1,0,0,5,2,4,0,0,0,7,61.6438356164384,6.84931506849315,0,10.958904109589,1.36986301369863,1.36986301369863,6.84931506849315,1.36986301369863,0,6.84931506849315,1.36986301369863,0,0,6.84931506849315,2.73972602739726,5.47945205479452,0,0,0,9.58904109589041
109,國立,進修部,電機與電子群,273,1,0,35,11,1,12,14,3,8,1,0,0,12,9,2,0,4,1,18,48.3516483516484,0.366300366300366,0,12.8205128205128,4.02930402930403,0.366300366300366,4.3956043956044,5.12820512820513,1.0989010989011,2.93040293040293,0.366300366300366,0,0,4.3956043956044,3.2967032967033,0.732600732600733,0,1.46520146520147,0.366300366300366,6.59340659340659
109,國立,進修部,化工群,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,10
109,國立,進修部,土木與建築群,17,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,29.4117647058824,0,0,0,0,0,11.7647058823529,0,0,0,0,0,0,5.88235294117647,5.88235294117647,5.88235294117647,0,0,0,0
109,國立,進修部,商業與管理群,629,15,0,50,2,1,15,48,14,79,0,7,2,11,12,8,2,19,32,40,56.7567567567568,2.38473767885533,0,7.94912559618442,0.317965023847377,0.158982511923688,2.38473767885533,7.63116057233704,2.22575516693164,12.5596184419714,0,1.11287758346582,0.317965023847377,1.74880763116057,1.90779014308426,1.27186009538951,0.317965023847377,3.02066772655008,5.08744038155803,6.35930047694754
109,國立,進修部,設計群,93,5,0,11,1,0,2,4,0,8,0,0,1,0,2,2,0,0,4,9,52.6881720430108,5.37634408602151,0,11.8279569892473,1.0752688172043,0,2.1505376344086,4.3010752688172,0,8.60215053763441,0,0,1.0752688172043,0,2.1505376344086,2.1505376344086,0,0,4.3010752688172,9.67741935483871
109,國立,進修部,農業群,38,0,0,1,0,0,1,1,0,2,0,0,0,4,1,0,0,0,3,0,34.2105263157895,0,0,2.63157894736842,0,0,2.63157894736842,2.63157894736842,0,5.26315789473684,0,0,0,10.5263157894737,2.63157894736842,0,0,0,7.89473684210526,0
109,國立,進修部,食品群,120,8,0,10,0,0,3,10,2,7,0,0,1,0,3,9,1,1,0,7,51.6666666666667,6.66666666666667,0,8.33333333333333,0,0,2.5,8.33333333333333,1.66666666666667,5.83333333333333,0,0,0.833333333333333,0,2.5,7.5,0.833333333333333,0.833333333333333,0,5.83333333333333
109,國立,進修部,家政群,119,7,1,6,0,0,3,6,3,23,0,0,0,1,3,3,0,7,6,8,64.7058823529412,5.88235294117647,0.840336134453782,5.04201680672269,0,0,2.52100840336134,5.04201680672269,2.52100840336134,19.327731092437,0,0,0,0.840336134453782,2.52100840336134,2.52100840336134,0,5.88235294117647,5.04201680672269,6.72268907563025
109,國立,進修部,餐旅群,125,1,0,9,0,1,2,4,0,28,0,1,0,5,7,2,0,2,0,5,53.6,0.8,0,7.2,0,0.8,1.6,3.2,0,22.4,0,0.8,0,4,5.6,1.6,0,1.6,0,4
109,縣市立,普通科,學術群,45068,6,0,26,4,1,18,12,9,80,0,7,2,2,20,130,0,6,38,43,0.896423182746073,0.0133132155853377,0,0.0576906008697968,0.00887547705689181,0.00221886926422295,0.0399396467560131,0.0266264311706754,0.0199698233780066,0.177509541137836,0,0.0155320848495607,0.0044377385284459,0.0044377385284459,0.044377385284459,0.288453004348984,0,0.0133132155853377,0.0843170320404722,0.0954113783615869
109,縣市立,專業群科,機械群,2146,0,0,45,13,2,2,4,4,6,0,0,0,7,12,16,0,2,0,12,5.82479030754893,0,0,2.09692451071761,0.605778191985089,0.0931966449207828,0.0931966449207828,0.186393289841566,0.186393289841566,0.279589934762349,0,0,0,0.32618825722274,0.559179869524697,0.745573159366263,0,0.0931966449207828,0,0.559179869524697
109,縣市立,專業群科,動力機械群,741,1,0,16,0,0,1,3,2,0,1,1,0,6,0,1,0,0,0,0,4.31848852901484,0.134952766531714,0,2.15924426450742,0,0,0.134952766531714,0.404858299595142,0.269905533063428,0,0.134952766531714,0.134952766531714,0,0.809716599190283,0,0.134952766531714,0,0,0,0
109,縣市立,專業群科,電機與電子群,3390,0,0,29,7,0,0,7,3,7,0,0,0,5,7,7,0,0,0,2,2.18289085545723,0,0,0.855457227138643,0.206489675516224,0,0,0.206489675516224,0.0884955752212389,0.206489675516224,0,0,0,0.147492625368732,0.206489675516224,0.206489675516224,0,0,0,0.0589970501474926
109,縣市立,專業群科,化工群,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1.6597510373444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03734439834025,0,0,0,0.622406639004149
